order_id,customer_id,product_id,category,payment_method,order_time,price,quantity,total_amount,status
O899819,C65,P14,Clothing,PayPal,2025-08-22 05:21:00,31.97,2,63.94,Completed
O547121,C130,P50,Clothing,Debit Card,2025-08-21 21:06:00,124.65,5,623.25,Completed
O463463,C137,P12,Electronics,Credit Card,2025-08-22 01:10:00,407.89,3,1223.67,Completed
O153445,C161,P19,Books,Cash,2025-08-24 05:42:00,329.11,3,987.33,Cancelled
O459612,C87,P42,Clothing,PayPal,2025-08-21 20:02:00,435.45,3,1306.35,Cancelled
O286259,C175,P27,Clothing,Cash,2025-08-22 14:55:00,275.69,2,551.38,Completed
O823080,C189,P16,Sports,UPI,2025-08-24 00:54:00,138.22,3,414.66,Completed
O382435,C15,P12,Books,Cash,2025-08-21 17:42:00,27.34,4,109.36,Completed
O496156,C124,P36,Sports,PayPal,2025-08-20 12:38:00,232.16,5,1160.8,Completed
O743256,C53,P15,Books,Cash,2025-08-22 17:01:00,37.2,3,111.6,Completed
O891181,C109,P11,Clothing,PayPal,2025-08-24 00:56:00,332.62,1,332.62,Completed
O926224,C39,P28,Books,Debit Card,2025-08-22 14:06:00,272.34,1,272.34,Cancelled
O977542,C45,P24,Electronics,Credit Card,2025-08-20 02:43:00,312.72,4,1250.88,Completed
O901773,C69,P1,Electronics,,2025-08-21 03:06:00,292.47,5,1462.35,Completed
O504763,C145,P29,Books,PayPal,2025-08-20 07:35:00,72.38,4,289.52,Completed
O784737,C110,P14,,PayPal,2025-08-21 23:15:00,248.79,2,497.58,Completed
O663029,C13,P23,Home,Credit Card,2025-08-20 10:07:00,93.9,4,375.6,Completed
O933198,C80,P31,Home,Debit Card,2025-08-20 07:28:00,265.02,5,1325.1,Completed
O283710,C30,P29,Electronics,Debit Card,2025-08-20 00:03:00,346.63,3,1039.89,Completed
O859076,C112,P23,Home,PayPal,2025-08-23 09:03:00,301.58,1,301.58,Completed
O665878,C97,P47,Electronics,UPI,2025-08-23 00:44:00,220.67,2,441.34,Completed
O470192,C81,P50,Clothing,Credit Card,2025-08-21 05:37:00,64.27,3,192.81,Completed
O873288,C65,P26,Sports,Cash,2025-08-22 22:37:00,78.34,1,78.34,Completed
O622727,C167,P33,Sports,UPI,2025-08-22 12:39:00,314.83,1,314.83,Cancelled
O617123,C167,P19,Home,PayPal,2025-08-23 01:25:00,206.79,1,206.79,Completed
O802301,C114,P26,Clothing,,2025-08-22 08:43:00,111.14,3,333.42,Cancelled
O791116,C188,P18,Sports,Debit Card,2025-08-21 14:26:00,224.13,3,672.39,Cancelled
O606966,C39,P10,Home,PayPal,2025-08-23 12:16:00,484.25,1,484.25,Completed
O787155,C128,P12,Home,Debit Card,2025-08-22 21:52:00,83.01,1,83.01,Completed
O929551,C157,P50,Sports,PayPal,2025-08-22 14:23:00,331.83,4,1327.32,Cancelled
O592397,C43,P13,Home,Debit Card,2025-08-22 15:04:00,384.83,4,1539.32,Completed
O409452,C15,P34,Books,Debit Card,2025-08-23 15:30:00,37.5,4,150.0,Completed
O924106,C65,P20,Books,PayPal,2025-08-23 02:17:00,162.73,5,813.65,Completed
O675451,C147,P23,Home,PayPal,2025-08-24 06:46:00,234.71,3,704.13,Completed
O126907,C91,P9,Sports,Credit Card,2025-08-22 22:03:00,407.1,3,1221.3,Completed
O436963,C28,P18,Books,Credit Card,2025-08-22 15:17:00,120.34,5,601.7,Completed
O286499,C159,P43,Home,Cash,2025-08-21 08:16:00,60.44,2,120.88,Completed
O420278,C82,P12,Sports,Debit Card,2025-08-20 00:53:00,21.34,1,21.34,Completed
O507680,C80,P35,Sports,Debit Card,2025-08-20 08:37:00,372.45,3,1117.35,Completed
O383904,C23,P28,Sports,Credit Card,2025-08-23 03:04:00,121.87,5,609.35,Completed
O286274,C194,P37,Clothing,Cash,2025-08-22 12:30:00,110.53,1,110.53,Completed
O869491,C198,P32,Clothing,Debit Card,2025-08-20 13:47:00,41.63,4,166.52,Completed
O493794,C194,P19,Home,PayPal,2025-08-22 04:51:00,142.31,2,284.62,Completed
O568848,C144,P21,Clothing,Debit Card,2025-08-22 07:46:00,138.7,1,138.7,Completed
O882370,C167,P12,Sports,Cash,2025-08-23 08:04:00,149.44,4,597.76,Completed
O174521,C152,P25,Clothing,UPI,2025-08-21 14:25:00,235.09,4,940.36,Completed
O590786,C55,P43,Clothing,Cash,2025-08-23 13:46:00,55.8,1,55.8,Completed
O609466,C114,P7,Books,Credit Card,2025-08-23 17:49:00,43.26,4,173.04,Completed
O840989,C171,P42,Books,Debit Card,2025-08-23 12:20:00,162.77,3,488.31,Completed
O894360,C92,P43,Books,Cash,2025-08-20 20:28:00,450.56,2,901.12,Completed
O624736,C14,P40,Clothing,Debit Card,2025-08-23 20:37:00,74.9,3,224.7,Completed
O175382,C84,P5,Books,PayPal,2025-08-20 08:27:00,172.44,1,172.44,Cancelled
O632505,C54,P23,Electronics,Debit Card,2025-08-21 22:28:00,342.99,1,342.99,Completed
O579152,C33,P9,Electronics,Credit Card,2025-08-23 10:59:00,452.99,5,2264.95,Completed
O450946,C126,P42,Home,Credit Card,2025-08-23 20:32:00,223.37,4,893.48,Completed
O207650,C88,P30,Books,Debit Card,2025-08-23 14:31:00,327.28,4,1309.12,Completed
O220725,C44,P22,Books,Debit Card,2025-08-23 08:31:00,473.83,5,2369.15,Completed
O436885,C148,P27,Home,Debit Card,2025-08-22 13:23:00,384.31,1,384.31,Completed
O636065,C77,P28,Electronics,Credit Card,2025-08-24 01:07:00,330.66,2,661.32,Completed
O788047,C81,P39,Home,UPI,2025-08-23 08:48:00,85.25,4,341.0,Completed
O793325,C172,P46,Sports,UPI,2025-08-21 18:49:00,83.48,5,417.4,Completed
O810373,C96,P2,Home,Credit Card,2025-08-20 21:06:00,10.1,5,50.5,Cancelled
O161058,C101,P11,Electronics,Debit Card,2025-08-21 14:29:00,469.07,4,1876.28,Completed
O715022,C102,P39,Home,Cash,2025-08-22 03:08:00,170.34,2,340.68,Cancelled
O625803,C41,P16,Sports,PayPal,2025-08-20 02:47:00,419.29,3,1257.87,Completed
O719154,C180,P26,Home,PayPal,2025-08-20 08:14:00,386.15,5,1930.75,Completed
O349084,C66,P43,Sports,Cash,2025-08-24 01:31:00,244.53,1,244.53,Completed
O633592,C160,P33,Books,UPI,2025-08-20 03:10:00,178.21,3,534.63,Cancelled
O548627,C196,P40,Books,PayPal,2025-08-24 23:37:00,498.98,3,1496.94,Cancelled
O661700,C33,P19,Electronics,Credit Card,2025-08-20 06:07:00,33.52,5,167.6,Completed
O541658,C193,P35,Books,Credit Card,2025-08-24 10:28:00,90.99,3,272.97,Completed
O761305,C153,P45,Electronics,Cash,2025-08-24 05:00:00,324.33,5,1621.65,Completed
O345395,C195,P4,Clothing,UPI,2025-08-21 21:53:00,179.19,2,358.38,Completed
O637504,C54,P43,Sports,PayPal,2025-08-21 07:47:00,118.26,5,591.3,Completed
O934920,C81,P13,Electronics,PayPal,2025-08-20 18:58:00,54.39,2,108.78,Completed
O286834,C167,P1,Electronics,Debit Card,2025-08-22 23:29:00,497.06,2,994.12,Completed
O314019,C82,P11,Electronics,Debit Card,2025-08-24 03:32:00,135.01,3,405.03,Completed
O661418,C116,P36,Home,PayPal,2025-08-20 18:55:00,449.37,1,449.37,Completed
O243680,C126,P13,Electronics,UPI,2025-08-20 00:03:00,153.61,2,307.22,Completed
O577280,C106,P17,Clothing,Debit Card,2025-08-20 03:59:00,177.2,4,708.8,Completed
O231971,C184,P17,Home,UPI,2025-08-24 17:41:00,255.39,1,255.39,Completed
O499289,C56,P2,Clothing,Credit Card,2025-08-20 08:19:00,367.84,4,1471.36,Completed
O350649,C188,P22,Clothing,,2025-08-22 19:11:00,157.29,5,786.45,Cancelled
O315279,C108,P42,Books,Cash,2025-08-22 06:05:00,221.71,4,886.84,Completed
O884608,C43,P21,Home,UPI,2025-08-20 03:45:00,154.81,2,309.62,Completed
O941380,C175,P22,Sports,Debit Card,2025-08-20 22:39:00,490.39,3,1471.17,Completed
O847418,C183,P22,Sports,Debit Card,2025-08-20 15:43:00,499.85,1,499.85,Completed
O151864,C152,P3,Electronics,UPI,2025-08-20 09:00:00,427.86,3,1283.58,Completed
O542486,C54,P36,Home,UPI,2025-08-21 22:48:00,307.46,3,922.38,Completed
O620796,C126,P25,Sports,Debit Card,2025-08-21 09:12:00,64.53,4,258.12,Completed
O152973,C101,P25,Home,Debit Card,2025-08-20 10:04:00,180.32,1,180.32,Completed
O531378,C60,P22,Electronics,UPI,2025-08-22 02:29:00,198.12,1,198.12,Completed
O243540,C168,P4,Home,UPI,2025-08-20 22:29:00,446.94,2,893.88,Completed
O587639,C92,P44,Sports,Credit Card,2025-08-23 09:21:00,399.91,3,1199.73,Completed
O410032,C81,P40,Clothing,Cash,2025-08-23 22:19:00,260.01,1,260.01,Completed
O410162,C190,P45,Electronics,UPI,2025-08-24 23:59:00,123.34,3,370.02,Completed
O641098,C69,P19,Clothing,Credit Card,2025-08-20 20:24:00,61.35,5,306.75,Completed
O629449,C101,P25,Clothing,PayPal,2025-08-24 08:25:00,44.2,2,88.4,Completed
O134106,C178,P28,Sports,Credit Card,2025-08-23 16:52:00,134.71,5,673.55,Cancelled
O964168,C84,P6,Sports,PayPal,2025-08-23 06:04:00,175.18,4,700.72,Completed
O384005,C190,P50,Clothing,Cash,2025-08-24 14:51:00,490.25,4,1961.0,Completed
O724798,C30,P14,Sports,PayPal,2025-08-20 00:47:00,208.98,3,626.94,Completed
O163169,C1,P16,Books,Debit Card,2025-08-24 17:43:00,464.97,2,929.94,Completed
O904218,C183,P23,Home,Credit Card,2025-08-24 15:28:00,418.21,5,2091.05,Completed
O946993,C60,P40,Home,UPI,2025-08-22 17:37:00,393.14,3,1179.42,Completed
O474490,C193,P9,Electronics,PayPal,2025-08-22 19:37:00,195.47,3,586.41,Completed
O259956,C140,P44,Books,Credit Card,2025-08-20 12:55:00,482.58,1,482.58,Completed
O780465,C118,P18,Books,Cash,2025-08-24 22:31:00,181.39,4,725.56,Completed
O493961,C27,P24,Sports,Credit Card,2025-08-20 12:54:00,242.47,4,969.88,Completed
O954561,C117,P32,Sports,PayPal,2025-08-24 12:54:00,206.3,5,1031.5,Completed
O304906,C149,P3,Electronics,Debit Card,2025-08-24 15:52:00,21.01,2,42.02,Cancelled
O917137,C30,P2,Books,Credit Card,2025-08-21 05:56:00,293.3,4,1173.2,Completed
O282362,C116,P31,Electronics,Debit Card,2025-08-23 18:29:00,338.44,2,676.88,Completed
O111932,C3,P47,Clothing,UPI,2025-08-23 03:57:00,179.9,3,539.7,Completed
O602240,C132,P48,Home,PayPal,2025-08-24 01:54:00,281.85,1,281.85,Completed
O638066,C70,P42,Books,Debit Card,2025-08-21 13:06:00,182.21,4,728.84,Completed
O373355,C3,P22,Sports,Cash,2025-08-24 10:09:00,396.71,3,1190.13,Completed
O976871,C122,P24,Sports,Debit Card,2025-08-23 22:13:00,460.71,4,1842.84,Completed
O467155,C49,P15,Home,,2025-08-20 16:38:00,416.65,5,2083.25,Completed
O819376,C148,P5,Sports,UPI,2025-08-23 02:56:00,451.08,4,1804.32,Completed
O609669,C114,P23,Home,Credit Card,2025-08-24 19:58:00,348.12,4,1392.48,Completed
O666992,C145,P17,,Cash,2025-08-21 14:51:00,19.21,1,19.21,Completed
O276580,C197,P32,Sports,Cash,2025-08-21 17:16:00,31.03,3,93.09,Completed
O579678,C82,P22,Clothing,Credit Card,2025-08-20 10:34:00,464.54,2,929.08,Completed
O555886,C26,P31,Books,,2025-08-20 00:45:00,89.8,2,179.6,Completed
O507915,C113,P34,Clothing,Credit Card,2025-08-20 16:22:00,179.17,1,179.17,Completed
O264298,C108,P34,Sports,Debit Card,2025-08-20 00:45:00,243.4,2,486.8,Completed
O208499,C198,P27,Sports,Debit Card,2025-08-24 22:57:00,221.95,3,665.85,Completed
O414598,C131,P29,Books,Debit Card,2025-08-22 11:17:00,238.29,4,953.16,Completed
O921033,C116,P6,Clothing,Credit Card,2025-08-21 08:34:00,192.92,1,192.92,Cancelled
O679976,C182,P25,Books,Debit Card,2025-08-23 22:15:00,49.92,2,99.84,Completed
O993843,C105,P33,Clothing,Credit Card,2025-08-23 20:45:00,393.64,1,393.64,Completed
O246402,C193,P3,Clothing,UPI,2025-08-22 04:07:00,86.98,4,347.92,Cancelled
O710918,C97,P49,Electronics,Cash,2025-08-22 10:42:00,421.69,2,843.38,Completed
O867617,C199,P24,Clothing,Debit Card,2025-08-22 05:05:00,84.09,2,168.18,Completed
O715061,C126,P25,Electronics,Debit Card,2025-08-24 08:55:00,271.95,4,1087.8,Completed
O236065,C102,P23,Sports,Credit Card,2025-08-20 23:11:00,402.34,1,402.34,Completed
O401217,C40,P7,Sports,Cash,2025-08-23 03:06:00,40.93,5,204.65,Completed
O807997,C176,P43,Home,Debit Card,2025-08-24 22:56:00,250.19,2,500.38,Completed
O107444,C27,P3,Clothing,UPI,2025-08-23 19:40:00,361.36,5,1806.8,Completed
O780202,C59,P42,Sports,Credit Card,2025-08-24 02:54:00,193.27,4,773.08,Completed
O413064,C170,P11,Electronics,Cash,2025-08-21 13:47:00,104.26,4,417.04,Completed
O237613,C27,P18,Sports,Credit Card,2025-08-21 13:53:00,332.7,1,332.7,Completed
O613490,C15,P46,Electronics,Debit Card,2025-08-20 22:13:00,249.88,5,1249.4,Completed
O834952,C187,P35,Electronics,Debit Card,2025-08-21 15:50:00,435.77,5,2178.85,Completed
O633111,C160,P50,Sports,Cash,2025-08-21 03:33:00,227.92,4,911.68,Completed
O797588,C76,P35,Clothing,Credit Card,2025-08-21 22:15:00,159.62,5,798.1,Completed
O356746,C118,P38,Electronics,Debit Card,2025-08-22 16:20:00,303.53,1,303.53,Completed
O439602,C7,P34,Books,UPI,2025-08-24 10:23:00,330.67,2,661.34,Completed
O347175,C198,P39,Home,UPI,2025-08-21 17:05:00,82.21,2,164.42,Completed
O858947,C40,P22,Clothing,Cash,2025-08-21 08:59:00,104.49,1,104.49,Cancelled
O147594,C74,P26,Books,UPI,2025-08-21 15:28:00,225.56,4,902.24,Completed
O449065,C142,P49,Books,PayPal,2025-08-21 05:14:00,402.57,2,805.14,Cancelled
O482368,C72,P31,Books,Cash,2025-08-20 01:33:00,242.01,2,484.02,Cancelled
O450703,C184,P11,Sports,PayPal,2025-08-23 18:03:00,57.56,4,230.24,Completed
O240468,C57,P26,Books,Credit Card,2025-08-22 06:31:00,409.24,1,409.24,Completed
O542242,C162,P42,Clothing,PayPal,2025-08-23 20:56:00,448.49,1,448.49,Completed
O670571,C90,P47,Electronics,Debit Card,2025-08-23 10:35:00,177.87,5,889.35,Completed
O102118,C136,P24,Books,Credit Card,2025-08-20 18:17:00,272.15,4,1088.6,Completed
O730573,C168,P10,Books,Debit Card,2025-08-24 12:21:00,74.94,1,74.94,Completed
O481724,C179,P20,Sports,UPI,2025-08-21 05:19:00,374.36,1,374.36,Completed
O212603,C81,P32,Clothing,UPI,2025-08-24 19:17:00,223.74,3,671.22,Cancelled
O643450,C145,P24,Home,Debit Card,2025-08-21 14:58:00,292.89,2,585.78,Completed
O120724,C34,P10,Home,PayPal,2025-08-23 00:45:00,75.75,5,378.75,Completed
O930518,C175,P11,Home,Debit Card,2025-08-20 14:11:00,384.99,3,1154.97,Completed
O483023,C60,P9,Sports,Credit Card,2025-08-20 08:47:00,96.81,1,96.81,Completed
O143963,C173,P30,Electronics,UPI,2025-08-21 03:03:00,411.2,2,822.4,Completed
O421960,C84,P4,Electronics,UPI,2025-08-20 09:19:00,467.01,3,1401.03,Completed
O566583,C144,P28,Home,UPI,2025-08-22 19:54:00,77.73,3,233.19,Cancelled
O493483,C152,P15,Books,Debit Card,2025-08-22 17:22:00,44.09,3,132.27,Completed
O323515,C92,P19,Electronics,PayPal,2025-08-23 12:59:00,84.49,5,422.45,Completed
O446969,C63,P22,Books,Debit Card,2025-08-23 01:43:00,347.08,4,1388.32,Completed
O183704,C164,P6,,Debit Card,2025-08-21 05:39:00,36.14,1,36.14,Completed
O767802,C64,P23,Home,Cash,2025-08-24 21:29:00,197.22,5,986.1,Completed
O844285,C40,P18,Electronics,UPI,2025-08-24 13:40:00,459.46,3,1378.38,Completed
O319871,C131,P33,Home,Credit Card,2025-08-24 03:16:00,388.78,5,1943.9,Completed
O165120,C22,P40,Home,PayPal,2025-08-21 11:25:00,184.52,4,738.08,Completed
O399109,C188,P37,Home,Cash,2025-08-24 17:11:00,265.38,1,265.38,Cancelled
O119782,C50,P12,Books,Credit Card,2025-08-23 23:32:00,137.39,3,412.17,Completed
O452509,C198,P9,Sports,Credit Card,2025-08-20 03:34:00,14.45,1,14.45,Completed
O906386,C44,P12,Sports,Credit Card,2025-08-20 11:58:00,200.21,4,800.84,Completed
O420759,C55,P3,Clothing,PayPal,2025-08-24 01:50:00,64.46,5,322.3,Completed
O516505,C53,P41,,UPI,2025-08-23 14:47:00,389.51,4,1558.04,Completed
O244201,C52,P41,Clothing,Debit Card,2025-08-20 12:22:00,455.44,1,455.44,Completed
O764482,C143,P20,,Debit Card,2025-08-22 10:09:00,301.65,2,603.3,Completed
O657109,C106,P9,Home,Cash,2025-08-20 10:36:00,486.42,3,1459.26,Completed
O247967,C21,P9,Home,Debit Card,2025-08-22 22:18:00,331.65,5,1658.25,Completed
O178527,C91,P47,Clothing,Debit Card,2025-08-24 17:47:00,280.56,3,841.68,Completed
O825301,C115,P17,Electronics,PayPal,2025-08-24 10:01:00,136.87,3,410.61,Completed
O905289,C111,P12,Sports,Cash,2025-08-21 08:51:00,303.25,3,909.75,Completed
O359095,C117,P25,Sports,Debit Card,2025-08-21 23:31:00,162.95,5,814.75,Completed
O817422,C75,P30,Books,Cash,2025-08-23 12:26:00,257.48,3,772.44,Completed
O120112,C132,P36,Sports,Cash,2025-08-24 07:35:00,260.95,2,521.9,Completed
O731485,C155,P33,Clothing,UPI,2025-08-21 21:57:00,310.7,5,1553.5,Cancelled
O548151,C93,P9,Electronics,PayPal,2025-08-20 03:06:00,392.85,4,1571.4,Completed
O207340,C144,P37,Books,Credit Card,2025-08-23 00:54:00,431.06,1,431.06,Completed
O157412,C180,P50,Books,Debit Card,2025-08-22 22:44:00,146.04,1,146.04,Completed
O647485,C22,P6,Sports,PayPal,2025-08-21 13:44:00,183.46,3,550.38,Completed
O191986,C11,P23,Home,PayPal,2025-08-21 10:30:00,62.02,1,62.02,Completed
O595146,C87,P3,Home,PayPal,2025-08-22 18:27:00,222.33,1,222.33,Completed
O112160,C199,P6,Clothing,Debit Card,2025-08-20 05:50:00,21.5,2,43.0,Completed
O740207,C75,P34,Books,Credit Card,2025-08-20 09:24:00,169.46,3,508.38,Completed
O723519,C79,P20,Electronics,Credit Card,2025-08-20 12:39:00,170.87,4,683.48,Completed
O753332,C61,P48,Sports,UPI,2025-08-21 09:48:00,231.3,1,231.3,Cancelled
O601643,C103,P34,Electronics,PayPal,2025-08-23 06:32:00,24.19,5,120.95,Completed
O767575,C22,P7,Books,PayPal,2025-08-23 13:37:00,287.46,1,287.46,Completed
O373328,C140,P29,Clothing,Cash,2025-08-23 04:10:00,429.8,1,429.8,Completed
O254988,C68,P48,Home,Debit Card,2025-08-22 08:35:00,299.29,2,598.58,Completed
O191845,C194,P45,Clothing,UPI,2025-08-23 11:52:00,188.26,3,564.78,Completed
O282834,C36,P12,Clothing,PayPal,2025-08-22 18:26:00,169.46,4,677.84,Completed
O957427,C177,P44,Electronics,PayPal,2025-08-21 11:33:00,177.18,3,531.54,Completed
O750898,C163,P11,Home,Credit Card,2025-08-21 12:11:00,318.08,2,636.16,Completed
O992423,C60,P27,Electronics,UPI,2025-08-21 15:59:00,252.73,4,1010.92,Completed
O451721,C146,P40,Home,PayPal,2025-08-24 13:19:00,400.98,4,1603.92,Completed
O378249,C191,P43,Books,Cash,2025-08-22 12:11:00,231.02,5,1155.1,Cancelled
O481067,C178,P35,Home,PayPal,2025-08-22 20:51:00,122.16,5,610.8,Completed
O433018,C41,P19,Home,PayPal,2025-08-24 09:42:00,144.1,5,720.5,Completed
O480895,C88,P32,Sports,Cash,2025-08-20 13:34:00,185.21,3,555.63,Completed
O450314,C43,P30,Books,PayPal,2025-08-21 07:25:00,239.33,4,957.32,Completed
O763036,C52,P35,Clothing,UPI,2025-08-22 21:55:00,346.92,5,1734.6,Completed
O537939,C100,P41,Books,Credit Card,2025-08-24 04:17:00,402.57,4,1610.28,Completed
O788492,C57,P48,Sports,PayPal,2025-08-20 08:17:00,50.4,4,201.6,Completed
O169189,C156,P41,Home,PayPal,2025-08-22 06:45:00,11.98,2,23.96,Completed
O570329,C56,P13,Clothing,Cash,2025-08-20 20:18:00,74.21,4,296.84,Completed
O489895,C37,P18,Electronics,UPI,2025-08-24 17:19:00,40.67,5,203.35,Completed
O741577,C109,P11,Home,PayPal,2025-08-24 06:31:00,281.17,5,1405.85,Completed
O997996,C166,P11,Books,PayPal,2025-08-23 17:44:00,450.91,4,1803.64,Completed
O974546,C155,P42,Clothing,UPI,2025-08-22 12:26:00,150.19,5,750.95,Completed
O413432,C32,P4,Electronics,UPI,2025-08-23 10:47:00,327.61,4,1310.44,Completed
O529310,C82,P20,Books,Cash,2025-08-22 03:48:00,373.5,5,1867.5,Completed
O796051,C118,P31,Books,UPI,2025-08-23 03:27:00,40.85,5,204.25,Completed
O930297,C144,P24,Home,Credit Card,2025-08-24 10:16:00,325.01,4,1300.04,Completed
O224797,C40,P25,Books,Credit Card,2025-08-20 14:07:00,316.94,5,1584.7,Completed
O977964,C187,P3,Sports,UPI,2025-08-23 17:16:00,198.84,5,994.2,Completed
O542533,C92,P8,Electronics,Cash,2025-08-24 14:17:00,472.73,2,945.46,Completed
O710479,C127,P37,Home,Cash,2025-08-22 05:44:00,19.35,4,77.4,Completed
O819532,C48,P47,Home,UPI,2025-08-22 05:23:00,113.22,2,226.44,Completed
O872698,C127,P46,Sports,Debit Card,2025-08-24 00:29:00,163.66,4,654.64,Completed
O360953,C42,P23,Home,Debit Card,2025-08-23 22:07:00,215.33,1,215.33,Completed
O495742,C56,P40,Home,Cash,2025-08-22 00:01:00,61.16,5,305.8,Cancelled
O799370,C93,P20,Clothing,Credit Card,2025-08-22 09:26:00,299.03,4,1196.12,Completed
O160633,C165,P16,Books,UPI,2025-08-20 18:30:00,351.85,1,351.85,Completed
O188970,C155,P6,Clothing,Cash,2025-08-22 15:02:00,354.35,1,354.35,Completed
