activity_id,student_id,course_id,activity_type,activity_time,device,location,duration_minutes
A876294,S60,C16,Complete_Course,2025-08-26 09:17:00,Tablet,India,
A296910,S1,C17,Forum_Post,2025-08-21 21:14:00,Desktop,UK,
A214390,S92,C15,Login,2025-08-22 07:19:00,Desktop,UK,
A316787,S127,C1,Login,2025-08-23 06:53:00,Desktop,Australia,
A116539,S73,C18,Login,2025-08-20 05:20:00,Tablet,Canada,
A231424,S105,C15,Complete_Course,2025-08-22 15:32:00,Tablet,Australia,
A715988,S22,C19,Login,2025-08-21 00:19:00,Tablet,USA,
A979723,S30,C11,Watch_Video,2025-08-23 08:55:00,Mobile,USA,15.0
A195405,S26,C17,Watch_Video,2025-08-25 21:13:00,Desktop,India,12.0
A625660,S116,C13,Forum_Post,2025-08-20 21:16:00,Tablet,UK,
A171079,S38,C18,Forum_Post,2025-08-22 15:24:00,Tablet,UK,
A192864,S62,C2,Forum_Post,2025-08-24 16:30:00,Tablet,USA,
A425409,S76,C13,Attempt_Quiz,2025-08-25 15:02:00,Tablet,India,38.0
A986365,S107,C17,Forum_Post,2025-08-25 09:18:00,Desktop,USA,
A540453,S37,C15,Login,2025-08-26 17:22:00,Tablet,USA,
A740793,S69,C5,Attempt_Quiz,2025-08-25 14:49:00,Mobile,India,14.0
A476323,S76,C1,Attempt_Quiz,2025-08-23 23:08:00,Mobile,USA,22.0
A749895,S16,C2,Login,2025-08-21 05:05:00,Tablet,USA,
A983217,S141,C5,Login,2025-08-20 01:02:00,Mobile,USA,
A583232,S131,C3,Complete_Course,2025-08-20 19:44:00,Desktop,UK,
A880443,S41,C19,Forum_Post,2025-08-23 05:19:00,Tablet,Australia,
A505816,S88,C1,Watch_Video,2025-08-21 02:13:00,Desktop,Canada,23.0
A278214,S100,C16,Attempt_Quiz,2025-08-21 18:53:00,Desktop,,34.0
A596508,S93,C8,Complete_Course,2025-08-20 12:48:00,Tablet,UK,
A618333,S10,C16,Watch_Video,2025-08-24 20:27:00,Desktop,Canada,8.0
A408148,S107,C11,Login,2025-08-24 17:42:00,Desktop,Canada,
A802362,S4,C16,Watch_Video,2025-08-25 08:43:00,Desktop,Australia,23.0
A914566,S97,C9,Watch_Video,2025-08-24 15:55:00,Desktop,UK,44.0
A640887,S98,C20,Complete_Course,2025-08-25 17:03:00,Desktop,UK,
A406304,S72,C1,Login,2025-08-24 13:19:00,Desktop,USA,
A442620,S53,C14,Forum_Post,2025-08-21 10:09:00,Mobile,Australia,
A841371,S69,C16,Forum_Post,2025-08-23 01:07:00,Tablet,India,
A535372,S114,C17,Attempt_Quiz,2025-08-21 08:40:00,Mobile,USA,53.0
A379164,S70,C14,Attempt_Quiz,2025-08-23 19:26:00,Desktop,USA,44.0
A832278,S41,C5,Login,2025-08-26 02:37:00,Tablet,India,
A390557,S28,C10,Attempt_Quiz,2025-08-22 09:55:00,Desktop,USA,6.0
A641805,S25,C5,Watch_Video,2025-08-25 09:40:00,Tablet,Canada,29.0
A179877,S83,C4,Watch_Video,2025-08-23 05:39:00,Tablet,Australia,1.0
A463407,S2,C18,Complete_Course,2025-08-21 10:11:00,Desktop,India,
A797421,S90,C20,Attempt_Quiz,2025-08-21 06:47:00,Desktop,UK,13.0
A221477,S43,C10,Complete_Course,2025-08-24 01:01:00,Tablet,Australia,
A335353,S137,C10,Attempt_Quiz,2025-08-24 01:04:00,Tablet,UK,57.0
A676446,S109,C16,Login,2025-08-23 23:43:00,Desktop,Canada,
A433091,S67,C19,Attempt_Quiz,2025-08-21 12:59:00,Mobile,UK,25.0
A502179,S73,C4,Attempt_Quiz,2025-08-24 22:02:00,Mobile,UK,6.0
A340532,S97,C15,Login,2025-08-20 17:43:00,Desktop,UK,
A486052,S141,C1,Forum_Post,2025-08-26 18:53:00,Desktop,India,
A491238,S149,C7,Login,2025-08-25 09:25:00,Desktop,USA,
A697472,S52,C20,Watch_Video,2025-08-25 10:56:00,Desktop,Australia,38.0
A189683,S123,C8,Login,2025-08-21 13:53:00,Desktop,USA,
A176268,S130,C17,Watch_Video,2025-08-21 15:41:00,Tablet,UK,8.0
A272620,S127,C5,Attempt_Quiz,2025-08-21 18:16:00,,Canada,18.0
A628202,S53,C13,Attempt_Quiz,2025-08-24 09:32:00,Tablet,USA,24.0
A840129,S140,C3,Login,2025-08-24 01:41:00,Tablet,India,
A932016,S16,C13,Watch_Video,2025-08-22 09:59:00,Tablet,India,43.0
A325101,S46,C1,Login,2025-08-22 21:00:00,Tablet,Canada,
A477555,S43,C2,Watch_Video,2025-08-21 00:36:00,Desktop,UK,51.0
A364730,S101,C3,Login,2025-08-26 04:14:00,Mobile,,
A964068,S23,C2,Forum_Post,2025-08-22 02:13:00,Tablet,Australia,
A439449,S132,C9,Login,2025-08-24 17:18:00,Desktop,UK,
A126260,S33,C20,Complete_Course,2025-08-26 23:33:00,Mobile,UK,
A699829,S45,C1,Watch_Video,2025-08-25 12:11:00,Tablet,Canada,43.0
A581611,S58,C4,Complete_Course,2025-08-22 02:19:00,Tablet,India,
A511255,S91,C17,Watch_Video,2025-08-23 12:29:00,Mobile,Australia,18.0
A771121,S58,C6,Watch_Video,2025-08-23 13:58:00,Desktop,India,27.0
A553725,S59,C9,Complete_Course,2025-08-23 20:28:00,Desktop,USA,
A230695,S142,C1,Complete_Course,2025-08-21 05:03:00,Desktop,India,
A493541,S65,C5,Complete_Course,2025-08-20 06:44:00,Desktop,India,
A586049,S63,C20,Attempt_Quiz,2025-08-21 16:01:00,Desktop,Australia,36.0
A698793,S101,C2,Forum_Post,2025-08-24 11:08:00,Mobile,USA,
A629137,S10,C12,Attempt_Quiz,2025-08-23 10:27:00,Tablet,India,28.0
A918814,S17,C14,Watch_Video,2025-08-23 18:16:00,Mobile,Canada,23.0
A793829,S6,C1,Watch_Video,2025-08-23 15:59:00,Mobile,India,1.0
A915272,S133,C5,Forum_Post,2025-08-22 07:06:00,Desktop,Australia,
A695293,S35,C3,Attempt_Quiz,2025-08-22 21:35:00,Tablet,,45.0
A197078,S126,C14,Watch_Video,2025-08-21 00:30:00,Desktop,UK,57.0
A466427,S125,C12,Attempt_Quiz,2025-08-21 00:15:00,Mobile,Canada,34.0
A682945,S9,C13,Complete_Course,2025-08-24 19:01:00,Desktop,USA,
A337783,S114,C8,Watch_Video,2025-08-21 20:47:00,Desktop,UK,59.0
A233430,S92,C15,Complete_Course,2025-08-21 17:18:00,Desktop,Australia,
A885409,S131,C14,Watch_Video,2025-08-22 15:09:00,Desktop,India,5.0
A515556,S90,C15,Watch_Video,2025-08-21 10:18:00,Mobile,UK,17.0
A484445,S92,C12,Complete_Course,2025-08-22 15:12:00,Mobile,USA,
A987383,S49,C3,Login,2025-08-24 11:00:00,Desktop,UK,
A540758,S40,C2,Watch_Video,2025-08-24 11:20:00,Tablet,Australia,18.0
A284768,S97,C14,Login,2025-08-24 17:22:00,Desktop,UK,
A171525,S118,C3,Forum_Post,2025-08-25 12:15:00,Mobile,Canada,
A868017,S117,C6,Complete_Course,2025-08-23 17:57:00,Desktop,UK,
A177244,S82,C17,Attempt_Quiz,2025-08-25 09:50:00,Desktop,Australia,60.0
A366288,S6,C5,Complete_Course,2025-08-22 04:33:00,Mobile,Australia,
A713252,S129,C8,Login,2025-08-26 13:31:00,,Canada,
A990086,S121,C20,Complete_Course,2025-08-20 14:20:00,Tablet,USA,
A674664,S9,C4,Complete_Course,2025-08-21 15:23:00,Tablet,UK,
A718597,S141,C13,Watch_Video,2025-08-25 19:49:00,Mobile,Canada,29.0
A105173,S43,C3,Complete_Course,2025-08-26 17:38:00,Desktop,Australia,
A332362,S17,C17,Forum_Post,2025-08-23 20:36:00,Desktop,UK,
A689310,S39,C4,Complete_Course,2025-08-26 07:39:00,Mobile,UK,
A996020,S24,C12,Watch_Video,2025-08-23 03:02:00,Desktop,USA,60.0
A595824,S21,C20,Login,2025-08-20 08:47:00,Tablet,Australia,
A891064,S22,C1,Complete_Course,2025-08-25 09:39:00,Tablet,India,
A260833,S106,C5,Complete_Course,2025-08-23 04:26:00,Tablet,India,
A685643,S15,C1,Complete_Course,2025-08-20 04:57:00,Tablet,India,
A208593,S57,C16,Watch_Video,2025-08-21 10:56:00,Tablet,India,32.0
A339850,S48,C17,Watch_Video,2025-08-25 08:59:00,Mobile,Canada,45.0
A792440,S144,C4,Watch_Video,2025-08-26 01:58:00,Desktop,Canada,30.0
A539739,S147,C8,Watch_Video,2025-08-23 10:49:00,Mobile,USA,25.0
A201102,S80,C3,Forum_Post,2025-08-25 04:56:00,Mobile,Australia,
A581749,S132,C7,Login,2025-08-22 17:42:00,Desktop,USA,
A431596,S142,C7,Complete_Course,2025-08-24 20:43:00,Tablet,USA,
A527406,S131,C20,Watch_Video,2025-08-26 13:48:00,Mobile,Canada,2.0
A629661,S114,C10,Watch_Video,2025-08-20 01:59:00,Desktop,Australia,17.0
A758031,S99,C17,Login,2025-08-26 11:59:00,Desktop,Australia,
A963814,S110,C15,Attempt_Quiz,2025-08-20 08:53:00,Tablet,Australia,52.0
A754580,S26,C9,Complete_Course,2025-08-24 15:41:00,Mobile,Canada,
A266460,S43,C11,Complete_Course,2025-08-22 03:33:00,Desktop,Australia,
A331217,S23,C19,Attempt_Quiz,2025-08-20 12:09:00,Desktop,Canada,32.0
A942496,S103,C19,Complete_Course,2025-08-20 19:48:00,Tablet,India,
A551172,S138,C5,Attempt_Quiz,2025-08-26 22:24:00,Desktop,USA,55.0
A289259,S20,C1,Login,2025-08-21 02:31:00,Tablet,UK,
A638015,S46,C18,Watch_Video,2025-08-22 19:59:00,Tablet,USA,43.0
A437067,S21,C7,Forum_Post,2025-08-25 03:48:00,Tablet,Australia,
A993882,S59,C11,Login,2025-08-22 19:10:00,Desktop,Australia,
A764679,S35,C19,Watch_Video,2025-08-22 11:30:00,Desktop,USA,54.0
A766902,S51,C10,Login,2025-08-24 08:32:00,Desktop,Canada,
A387388,S72,C11,Attempt_Quiz,2025-08-20 02:28:00,Tablet,UK,41.0
A447393,S21,C8,Login,2025-08-24 00:58:00,Tablet,Canada,
A924934,S44,C10,Watch_Video,2025-08-20 05:42:00,Desktop,USA,45.0
A751354,S136,C1,Forum_Post,2025-08-23 10:35:00,Desktop,Australia,
A100483,S62,C14,Watch_Video,2025-08-24 09:27:00,Mobile,India,6.0
A701020,S39,C6,Login,2025-08-24 04:04:00,Desktop,Australia,
A848055,S49,C16,Attempt_Quiz,2025-08-23 02:19:00,Mobile,USA,40.0
A620786,S65,C18,Complete_Course,2025-08-24 22:35:00,Mobile,USA,
A990302,S55,C3,Complete_Course,2025-08-26 05:48:00,Desktop,India,
A279227,S41,C17,Watch_Video,2025-08-21 05:16:00,Tablet,Canada,36.0
A224710,S115,C3,Attempt_Quiz,2025-08-20 22:53:00,Desktop,,48.0
A877232,S7,C14,Login,2025-08-26 17:43:00,Mobile,Canada,
A354819,S109,C9,Attempt_Quiz,2025-08-25 06:36:00,Desktop,USA,52.0
A736479,S25,C5,Watch_Video,2025-08-24 09:03:00,Desktop,UK,25.0
A531928,S106,C5,Watch_Video,2025-08-25 09:04:00,Tablet,Canada,23.0
A722686,S9,C11,Attempt_Quiz,2025-08-24 04:43:00,Tablet,Canada,59.0
A864482,S20,C7,Forum_Post,2025-08-25 01:58:00,Tablet,UK,
A300001,S71,C2,Login,2025-08-24 00:27:00,Desktop,UK,
A689999,S117,C1,Attempt_Quiz,2025-08-26 12:29:00,Tablet,Canada,21.0
A371823,S33,C10,Attempt_Quiz,2025-08-26 09:09:00,Tablet,Canada,10.0
A573944,S17,C16,Forum_Post,2025-08-22 12:01:00,Desktop,Canada,
A988362,S107,C5,Forum_Post,2025-08-21 21:59:00,Tablet,India,
A240781,S66,C1,Login,2025-08-21 04:10:00,Mobile,Australia,
A354291,S132,C17,Attempt_Quiz,2025-08-25 04:27:00,Mobile,UK,55.0
A770498,S140,C15,Forum_Post,2025-08-21 05:55:00,Mobile,Australia,
A760447,S30,C20,Complete_Course,2025-08-25 06:10:00,Desktop,USA,
A907779,S116,C19,Attempt_Quiz,2025-08-20 09:59:00,Mobile,India,21.0
A898475,S51,C16,Attempt_Quiz,2025-08-21 14:35:00,Desktop,Canada,58.0
A631823,S59,C8,Attempt_Quiz,2025-08-24 02:01:00,Tablet,Canada,51.0
A845937,S98,C16,Attempt_Quiz,2025-08-20 20:07:00,Mobile,Canada,25.0
A398969,S17,C4,Login,2025-08-25 19:34:00,Desktop,UK,
A642287,S65,C8,Complete_Course,2025-08-21 18:37:00,Desktop,Canada,
A421977,S53,C12,Forum_Post,2025-08-22 20:20:00,Desktop,,
A785863,S147,C5,Forum_Post,2025-08-22 13:47:00,Desktop,India,
A706338,S30,C20,Attempt_Quiz,2025-08-22 02:49:00,Desktop,USA,19.0
A273181,S16,C20,Attempt_Quiz,2025-08-22 06:43:00,Desktop,Australia,31.0
A166624,S77,C2,Complete_Course,2025-08-22 03:50:00,Mobile,Canada,
A636318,S106,C9,Forum_Post,2025-08-26 09:55:00,Desktop,USA,
A628007,S11,C5,Watch_Video,2025-08-23 02:30:00,Tablet,Australia,50.0
A400900,S12,C6,Forum_Post,2025-08-26 20:18:00,Tablet,Australia,
A318415,S99,C5,Complete_Course,2025-08-22 06:24:00,Tablet,Australia,
A714847,S128,C10,Forum_Post,2025-08-22 22:03:00,Mobile,USA,
A525028,S118,C16,Login,2025-08-25 21:35:00,Tablet,USA,
A992426,S122,C15,Complete_Course,2025-08-23 20:11:00,Desktop,India,
A721470,S76,C12,Complete_Course,2025-08-26 03:34:00,Mobile,UK,
A793512,S108,C7,Login,2025-08-24 14:50:00,Desktop,Australia,
A250797,S77,C5,Complete_Course,2025-08-25 06:12:00,Tablet,UK,
A359419,S141,C10,Forum_Post,2025-08-26 01:36:00,Desktop,USA,
A679687,S139,C14,Complete_Course,2025-08-24 06:42:00,,UK,
A281256,S5,C14,Attempt_Quiz,2025-08-20 18:15:00,Tablet,UK,17.0
A728290,S2,C12,Login,2025-08-25 17:23:00,Tablet,Canada,
A349609,S114,C19,Complete_Course,2025-08-23 06:47:00,Desktop,India,
A583091,S145,C3,Login,2025-08-25 04:30:00,Mobile,USA,
A908206,S137,C10,Login,2025-08-25 13:24:00,Tablet,USA,
A110603,S115,C11,Watch_Video,2025-08-26 12:36:00,Desktop,India,36.0
A323940,S148,C15,Login,2025-08-22 02:50:00,Mobile,Australia,
A969720,S63,C10,Complete_Course,2025-08-23 21:05:00,Desktop,India,
A108259,S8,C10,Watch_Video,2025-08-23 04:19:00,Desktop,Canada,21.0
A175567,S100,C13,Watch_Video,2025-08-24 21:56:00,Tablet,India,29.0
A636755,S143,C14,Watch_Video,2025-08-26 08:56:00,Desktop,Canada,17.0
A612357,S45,C7,Forum_Post,2025-08-23 20:25:00,Tablet,UK,
A345108,S102,C6,Attempt_Quiz,2025-08-23 02:03:00,Desktop,Australia,48.0
A764758,S5,C13,Complete_Course,2025-08-26 06:51:00,Desktop,UK,
A862455,S63,C18,Login,2025-08-25 19:30:00,Tablet,India,
A426221,S21,C18,Forum_Post,2025-08-23 18:54:00,Desktop,Australia,
A473317,S27,C6,Login,2025-08-25 20:12:00,Desktop,India,
A378109,S35,C13,Forum_Post,2025-08-22 21:22:00,Desktop,Canada,
A472355,S142,C19,Complete_Course,2025-08-24 13:47:00,Tablet,Australia,
A280428,S122,C2,Attempt_Quiz,2025-08-20 01:10:00,Mobile,India,4.0
A950763,S97,C14,Login,2025-08-23 21:40:00,Desktop,UK,
A708725,S26,C14,Attempt_Quiz,2025-08-25 13:33:00,Mobile,Australia,29.0
A945643,S42,C13,Attempt_Quiz,2025-08-21 03:16:00,Tablet,USA,4.0
A885980,S3,C11,Complete_Course,2025-08-20 23:11:00,Desktop,India,
A695646,S131,C10,Forum_Post,2025-08-26 11:32:00,Tablet,Canada,
A983431,S100,C5,Complete_Course,2025-08-20 20:50:00,Mobile,USA,
A615614,S89,C10,Login,2025-08-22 17:58:00,Desktop,USA,
A472818,S67,C7,Watch_Video,2025-08-26 21:32:00,Tablet,India,54.0
A604972,S57,C8,Attempt_Quiz,2025-08-25 03:39:00,Tablet,Australia,10.0
A464719,S136,C10,Complete_Course,2025-08-26 01:38:00,Tablet,UK,
A733519,S56,C3,Login,2025-08-23 09:06:00,Mobile,India,
A301419,S17,C7,Attempt_Quiz,2025-08-20 20:08:00,Mobile,UK,19.0
A956499,S56,C2,Complete_Course,2025-08-22 03:09:00,Desktop,Australia,
A433260,S103,C9,Login,2025-08-23 19:22:00,Mobile,UK,
A586131,S72,C6,Complete_Course,2025-08-22 22:23:00,Mobile,Canada,
A112920,S142,C8,Forum_Post,2025-08-25 02:45:00,Tablet,India,
A726576,S73,C5,Login,2025-08-23 17:21:00,Desktop,Canada,
A826109,S133,C14,Forum_Post,2025-08-25 10:45:00,Mobile,Canada,
A415322,S43,C5,Attempt_Quiz,2025-08-20 04:21:00,Mobile,USA,36.0
A999062,S43,C4,Watch_Video,2025-08-23 12:57:00,Mobile,India,31.0
A629945,S10,C12,Watch_Video,2025-08-22 09:44:00,Desktop,India,30.0
A296916,S19,C6,Attempt_Quiz,2025-08-22 22:18:00,Desktop,Australia,24.0
A877487,S7,C8,Attempt_Quiz,2025-08-26 11:21:00,Desktop,India,5.0
A875005,S71,C20,Login,2025-08-23 04:14:00,Mobile,Canada,
A397624,S11,C19,Complete_Course,2025-08-20 03:00:00,Tablet,India,
A177361,S107,C14,Complete_Course,2025-08-20 12:38:00,Mobile,India,
A291813,S111,C1,Login,2025-08-24 11:01:00,Tablet,India,
A933971,S19,C20,Watch_Video,2025-08-22 15:06:00,Mobile,USA,20.0
A341743,S99,C1,Watch_Video,2025-08-25 21:37:00,Mobile,UK,35.0
A634060,S139,C1,Watch_Video,2025-08-21 17:46:00,Mobile,Canada,26.0
A149155,S100,C8,Forum_Post,2025-08-24 10:05:00,Tablet,Canada,
A133578,S50,C10,Watch_Video,2025-08-24 11:16:00,Desktop,India,56.0
A271570,S45,C9,Login,2025-08-22 17:23:00,Tablet,,
A837281,S15,C3,Complete_Course,2025-08-20 23:38:00,Tablet,Australia,
A174274,S75,C3,Login,2025-08-22 13:42:00,Desktop,UK,
A194367,S41,C20,Attempt_Quiz,2025-08-26 01:01:00,Mobile,USA,44.0
A450741,S129,C5,Attempt_Quiz,2025-08-23 09:54:00,Desktop,USA,34.0
A977938,S65,C3,Login,2025-08-22 18:28:00,Tablet,USA,
A278790,S61,C7,Complete_Course,2025-08-21 18:31:00,Mobile,UK,
A501437,S82,C2,Forum_Post,2025-08-23 21:37:00,Tablet,Australia,
A409480,S59,C15,Complete_Course,2025-08-24 16:01:00,Desktop,Canada,
A144349,S5,C2,Forum_Post,2025-08-26 15:43:00,Tablet,India,
A395137,S80,C16,Forum_Post,2025-08-26 18:28:00,Tablet,Australia,
A444885,S105,C9,Complete_Course,2025-08-26 00:56:00,Tablet,Australia,
A931671,S10,C5,Attempt_Quiz,2025-08-25 14:52:00,Mobile,USA,15.0
A786430,S43,C11,Login,2025-08-21 00:15:00,Mobile,UK,
A907110,S4,C3,Login,2025-08-26 13:39:00,,Australia,
A417208,S69,C20,Complete_Course,2025-08-24 03:05:00,Mobile,Canada,
A720472,S47,C18,Attempt_Quiz,2025-08-22 11:57:00,Mobile,Australia,17.0
A384738,S91,C5,Watch_Video,2025-08-20 17:36:00,Tablet,Canada,23.0
A884280,S16,C13,Complete_Course,2025-08-20 14:09:00,Tablet,USA,
A484558,S72,C2,Forum_Post,2025-08-21 09:20:00,Tablet,Canada,
A945245,S134,C2,Attempt_Quiz,2025-08-24 11:15:00,Mobile,UK,11.0
A149481,S4,C16,Attempt_Quiz,2025-08-25 21:51:00,Desktop,India,45.0
A974235,S49,C4,Forum_Post,2025-08-22 00:54:00,Desktop,India,
A620478,S18,C3,Watch_Video,2025-08-20 18:18:00,Tablet,Canada,4.0
A411920,S80,C8,Attempt_Quiz,2025-08-21 13:49:00,Mobile,USA,55.0
A940627,S24,C20,Watch_Video,2025-08-23 10:43:00,Mobile,India,38.0
A647961,S140,C12,Attempt_Quiz,2025-08-26 15:41:00,Mobile,USA,9.0
A261756,S100,C8,Watch_Video,2025-08-21 19:01:00,Tablet,UK,6.0
A568013,S11,C7,Watch_Video,2025-08-20 05:54:00,Desktop,Canada,39.0
A860532,S122,C15,Login,2025-08-26 17:22:00,Tablet,Canada,
A628067,S88,C17,Forum_Post,2025-08-25 00:33:00,Mobile,Australia,
A835734,S150,C4,Watch_Video,2025-08-21 10:49:00,Tablet,UK,52.0
A999506,S55,C17,Complete_Course,2025-08-20 22:18:00,Desktop,Australia,
A771745,S84,C10,Attempt_Quiz,2025-08-23 10:12:00,Mobile,USA,32.0
A578116,S133,C14,Login,2025-08-21 01:15:00,Desktop,USA,
A931344,S141,C7,Attempt_Quiz,2025-08-24 06:46:00,Desktop,UK,50.0
A987933,S116,C8,Complete_Course,2025-08-22 08:59:00,Mobile,India,
A378006,S116,C18,Forum_Post,2025-08-21 10:16:00,Mobile,India,
A899909,S101,C5,Attempt_Quiz,2025-08-20 15:02:00,Mobile,India,59.0
A347393,S139,C12,Login,2025-08-21 20:43:00,Desktop,Australia,
A778321,S53,C12,Complete_Course,2025-08-20 08:48:00,Mobile,UK,
A350581,S109,C8,Complete_Course,2025-08-23 15:21:00,Mobile,India,
A337332,S95,C1,Complete_Course,2025-08-26 04:03:00,Desktop,Australia,
A371562,S62,C1,Forum_Post,2025-08-26 19:35:00,Mobile,USA,
A118472,S130,C4,Forum_Post,2025-08-20 15:38:00,Tablet,India,
A677558,S111,C19,Complete_Course,2025-08-23 03:58:00,Desktop,USA,
A704360,S137,C17,Forum_Post,2025-08-26 12:20:00,Tablet,Australia,
A583277,S76,C7,Watch_Video,2025-08-23 07:15:00,Tablet,Australia,17.0
A490583,S53,C7,Complete_Course,2025-08-23 23:52:00,Mobile,Canada,
A382235,S27,C19,Forum_Post,2025-08-26 02:23:00,Tablet,UK,
A246414,S43,C1,Complete_Course,2025-08-20 17:41:00,Tablet,India,
A805336,S67,C4,Login,2025-08-22 04:39:00,Desktop,Australia,
A987022,S143,C10,Forum_Post,2025-08-25 22:25:00,Desktop,USA,
A999912,S9,C9,Watch_Video,2025-08-22 06:13:00,Mobile,Canada,50.0
A419529,S138,C18,Attempt_Quiz,2025-08-25 21:48:00,Tablet,USA,54.0
A385595,S92,C8,Complete_Course,2025-08-25 00:18:00,Tablet,India,
A681534,S103,C16,Attempt_Quiz,2025-08-22 00:30:00,Tablet,India,15.0
A284673,S6,C19,Login,2025-08-24 09:26:00,Mobile,Canada,
A447843,S92,C3,Attempt_Quiz,2025-08-24 21:53:00,Desktop,UK,9.0
A602152,S52,C3,Login,2025-08-25 01:33:00,Desktop,,
A403035,S63,C1,Complete_Course,2025-08-20 10:44:00,Tablet,Australia,
A729777,S147,C13,Login,2025-08-20 06:25:00,Mobile,USA,
A305115,S63,C14,Watch_Video,2025-08-22 04:12:00,Desktop,India,51.0
A708317,S119,C5,Forum_Post,2025-08-25 22:09:00,Desktop,India,
A458570,S56,C12,Login,2025-08-24 13:51:00,Desktop,India,
A282688,S62,C11,Forum_Post,2025-08-20 00:51:00,,Canada,
A161788,S108,C6,Complete_Course,2025-08-23 00:48:00,Tablet,India,
A960740,S121,C19,Login,2025-08-21 23:31:00,Mobile,UK,
A454236,S53,C17,Complete_Course,2025-08-23 15:03:00,Desktop,UK,
A410265,S148,C19,Complete_Course,2025-08-20 03:46:00,Mobile,Canada,
A697632,S99,C19,Watch_Video,2025-08-21 17:47:00,Tablet,USA,18.0
A637793,S59,C20,Login,2025-08-24 10:01:00,Desktop,USA,
A254035,S117,C11,Attempt_Quiz,2025-08-26 18:02:00,Tablet,Canada,47.0
A885146,S42,C2,Forum_Post,2025-08-23 23:05:00,Mobile,Canada,
A920542,S52,C18,Watch_Video,2025-08-22 04:57:00,Tablet,USA,59.0
A592210,S48,C4,Watch_Video,2025-08-26 18:04:00,Tablet,USA,55.0
A242295,S136,C14,Forum_Post,2025-08-20 03:55:00,Desktop,UK,
A592674,S145,C15,Watch_Video,2025-08-24 23:49:00,Desktop,UK,36.0
A257222,S88,C3,Login,2025-08-25 04:15:00,Desktop,UK,
A966890,S16,C1,Forum_Post,2025-08-21 06:48:00,Tablet,India,
A329713,S112,C17,Forum_Post,2025-08-25 00:35:00,Mobile,USA,
A926249,S60,C20,Attempt_Quiz,2025-08-21 06:19:00,Tablet,India,46.0
A610233,S32,C12,Forum_Post,2025-08-20 01:09:00,Tablet,UK,
A741747,S9,C11,Login,2025-08-26 02:21:00,Tablet,India,
A973443,S150,C7,Complete_Course,2025-08-26 18:15:00,,UK,
A251498,S91,C13,Attempt_Quiz,2025-08-25 15:36:00,Desktop,Canada,44.0
A640387,S11,C10,Watch_Video,2025-08-25 11:28:00,Tablet,Australia,55.0
A166629,S39,C20,Watch_Video,2025-08-21 10:46:00,Mobile,Australia,28.0
A302737,S20,C8,Attempt_Quiz,2025-08-20 14:21:00,Desktop,India,44.0
A969486,S94,C10,Watch_Video,2025-08-25 19:17:00,Tablet,Canada,10.0
A942955,S147,C7,Login,2025-08-20 17:12:00,Mobile,UK,
A371996,S17,C19,Forum_Post,2025-08-23 23:01:00,Tablet,UK,
A949669,S100,C8,Forum_Post,2025-08-22 07:49:00,Tablet,Canada,
A810216,S111,C6,Forum_Post,2025-08-23 05:00:00,Desktop,Canada,
A343753,S110,C1,Watch_Video,2025-08-21 22:38:00,Mobile,UK,18.0
